email,isLead
"<p>Hi [Name,fallback=],<br /><br />Hope you're having a great day so far, even with all this rain. I recently came across your profile online, and was impressed with your background. I see your current job title is [candidate_job_title,fallback=] at [candidate_employer,fallback=], which is great as we are looking for a Salesforce Developer at Traction on Demand!<br /><br />At Traction, we work with a variety of clients to bend cloud-based technology around business processes, particularly in the <a href=""http://Salesforce.com"">Salesforce.com</a> ecosystem. We are the biggest Salesforce consulting practice globally, a direct partner of Salesforce and were also just named as CANADA'S #1 PLACE TO WORK!<br /><br />I'd love to have a quick phone chat with you to share more about the position and Traction and also to learn about your career aspirations. If you're interested, the following is my calendly link to book in for a phone connect: https://calendly.com/judithstrickland/20-minute-phone-interview/03-07-2019<br /><br />P.S. If the timing is not right, I'd be grateful if you could relay this opportunity to your network. <br /><br />Kind Regards,<br /><br />Judith Strickland<br />Talent Acquisition Specialist<br />Traction on Demand</p>",1
"<div>Greetings from Sanofi [Name,fallback=],</div>
<div>&nbsp;</div>
<div>Your profile looks great for a Medical Sales opening in our Rare Disease to be based in Taipei. Our rare disease portfolio is a market leading portfolio with key products that provide healthcare solutions to unmet needs.</div>
<div>
<p>If you are interested please do drop us your resume via the following job link :</p>
<p><a href=""https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Taipei/"">https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Taipei/</a></p>
<p>A recruiting team member will then reach out to you to share more details about the role and company.</p>
<p>&nbsp;</p>
<p>Many thanks,</p>
</div>
<div>Nick Vincent - Recruitment Partner</div>
<div>Sanofi Taiwan&nbsp;</div>",0
"<div>Hi [Name,fallback=],</div>
<div>&nbsp;</div>
<div>I wanted to get in touch with ou regarding a Senior Account Director role we're currently recruiting for. You will be responsible for a portfolio of around ten Tier 1 customers in the hospitality and leisure vertical.&nbsp;</div>
<div>&nbsp;</div>
<div>You will be responsible for producing account plans for your portfolio with the aim of really understanding the company&rsquo;s objectives and where they see the future.&nbsp;<br /><br />You will be a vertical expert in Hospitality and Leisure, keeping up to date with trends driving payments in this sector and&nbsp; will work closely with the partnerships, innovations and product teams to ensure they are kept up to date with our customer H&amp;L requirements.</div>
<div>&nbsp;</div>
<div>I'd be keen to discuss this with you in more detail so if you're interested, please let me know whn you'll be free to speak.&nbsp;</div>
<div>
<p>Kind regards,&nbsp;</p>
<p>Fredrika Campbell</p>
<p>Talent Acquisition Manager&nbsp;</p>
&nbsp;</div>",1
"<div>Hi [Name,fallback=],</div>
<div>&nbsp;</div>
<div>My hiring team and I recently came across your profile online, and we were impressed with your background. We are looking for a Software Engineer (Backend) in Abu Dhabi, Abu Dhabi.</div>
<div>&nbsp;</div>
<div>I see your current job title is [candidate_job_title,fallback=<wbr />] at [candidate_employer,fallback=]<wbr />.&nbsp;</div>
<div>
<p>We are currently looking for technical experts to join our team in Abu Dhabi to support the development of highly distributed data collection, aggregation, and analysis systems which serve as the core foundation of an evolving suite of commercial cybersecurity solutions.</p>
<p>In return, we offer a multi-cultural environment (55+ nationalities working here), family oriented compensation package, an Income-tax free environment, as well as yearlong sunshine.</p>
<p>You can read more about us at <a href=""https://www.darkmatter.ae/"">https://www.darkmatter.ae/</a>&nbsp;or at&nbsp;<a href=""https://www.youtube.com/channel/UCBHeZfrN3FkN7L9_u88URow/featured"">https://www.youtube.com/channel/UCBHeZfrN3FkN7L9_u88URow/featured</a></p>
<p>If you are interested in hearing more, please feel free to drop me your phone number and/or CV and we can go from there. I would also like to tell you more about the role and discuss next steps.</p>
</div>
<div>P.S. If the timing is not right, I'd be grateful if you could relay this opportunity to your network.&nbsp;</div>
<div>&nbsp;</div>
<div>Kind Regards,</div>
<div>&nbsp;</div>
<div>Burt Barnes at DarkMatter LLC&nbsp;</div>",0
"<div>
<p>Hi [Name,fallback=],</p>
<p>I am currently recruiting an <a href=""https://rn11.ultipro.com/"">IC&amp;E Technician III for Calpine - Los Esteros Critical Energy Center in San Jose</a>, CA. My hiring team and I recently came across your profile online and we felt this opportunity may be of interest to you or someone within your network.&nbsp;</p>
<p>Our success is fueled by our team members&rsquo; diverse backgrounds and unique perspectives. We offer our team members competitive salaries, comprehensive benefits and opportunities for continuous learning, development and career growth.</p>
<p>Would you be interested in knowing more? If so, I would love to set up a time to chat.</p>
<p>Thanks in advance for your prompt response!</p>
<p>P.S. If the timing is not right, I&rsquo;d be grateful if you could relay this opportunity to your network!&nbsp;</p>
</div>
<div>&nbsp;</div>
<div>Kind Regards,</div>
<div>&nbsp;</div>
<div>
<div><span style=""font-size: small;""><span style=""color: #15659f;""><strong>Eugina Bryant</strong></span></span></div>
<div><span style=""font-size: small;""><span style=""color: gray;"">Senior Recruiter</span></span></div>
<div><span style=""font-size: small;""><span style=""color: #15659f;"">CALPINE CORPORATION</span></span></div>
<div>&nbsp;</div>
&nbsp;</div>",0
"<div>Hi Lavi,</div>
<div>&nbsp;</div>
<div>I hope you don't mind me reaching out - I found you through Visage. I'm a founder of Shoppies, venture-backed platform in San Francisco with a current team of 7. We help content creators to create their own brands. Prior to Shoppies, I founded and ran Womena, a women's angel investment fund and accelerator.</div>
<div>&nbsp;</div>
<div>I'm not a professional recruiter, I'm not blasting out this email to a ton of people, just selectively reaching out for my own company.</div>
<div>
<p><span style=""font-weight: 400;"">Your background is highly relevant to the Head of Marketing and BD role I'm looking to fill (see here: <a href=""https://angel.co/l/"">https://angel.co/l/</a>) and I wanted to see if you'd be available for a Zoom call (or coffee if you are in SF).&nbsp;</span></p>
<p><span style=""font-weight: 400;"">Do you have some time Wednesday or Thursday afternoon? It would be great to discuss more and see if it's of interest to you or if you have someone you'd like to refer, and I'd love to connect either way. Looking forward to hearing from you and thanks for reading!</span></p>
</div>
<div>&nbsp;</div>
<div>
<p>Regards,</p>
<div><a href=""http://www.alaina.me/"" target=""_blank"" rel=""noopener"">Alaina</a></div>
<div>Co-Founder,&nbsp;<a href=""http://shoppies.co/"" target=""_blank"" rel=""noopener"">Shoppies</a></div>
<div>&nbsp;</div>
<div><img src=""https://drive.google.com/a/shoppies.co/uc?id=1jB23uwnVELCZYnaVKDLyhBPex1WhT4sd&amp;export=download"" width=""96"" height=""96"" /></div>
&nbsp;</div>",0
"<div>Hi [Name,fallback=],</div>
<div>
<p style=""font-weight: 400;"">Are you ready to accelerate your career, develop your HR experience and work for a world-leading recruitment company?</p>
<p style=""font-weight: 400;"">&nbsp;</p>
<p style=""font-weight: 400;"">Cielo is launching a Night Shift in our new state of the art offices in RCBC Plaza Makati to provide the highest levels of live recruitment support to our US Recruiters, Hiring Managers and Candidates.</p>
<p style=""font-weight: 400;"">We are looking for <strong>Impression Centre Agents</strong> to provide live customer call support for our candidates &ndash; this may be providing updates on their application, helping arrange interviews or contacting recruiters to further assist with the candidate &ndash; we want to make sure our candidates always have someone who is available to help them through the recruitment process and answer any questions they may have.</p>
<p style=""font-weight: 400;"">Cielo is the world&rsquo;s leading strategic Recruitment Process Outsourcing (RPO) partner with an impressive history of industry recognition - Cielo has consistently been ranked in the top 3 global rankings by HRO Today RPO Baker&rsquo;s Dozen listing, Peak Matrix Leader placement by Everest Group and Industry Leader designation by NelsonHall.</p>
<p style=""font-weight: 400;"">Our new Manila Night Shift operation will form a key part of our future expansion and will provide exceptional growth opportunities for future career development and progression &ndash; Cielo has invested significantly in the new state of the art offices and ensuring that we provide the best possible facilities, culture and opportunities to our teams.</p>
<p style=""font-weight: 400;"">&nbsp;</p>
</div>
<div>&nbsp;</div>
<div>Would you be interested in knowing more? The next step would be to set up a time to chat.&nbsp;</div>
<div>&nbsp;</div>
<div>P.S. If the timing is not right, I'd be grateful if you could relay this opportunity to your network.&nbsp;</div>
<div>&nbsp;</div>
<div>
<p>Regards,</p>
<p>&nbsp;</p>
<p><strong>Khalila Hughes</strong></p>
<p><strong>Cielo &ndash; Global RPO Partner</strong></p>
<p>RPO | Total Talent | Consulting | Search<u></u></p>
<p><strong><a href=""https://www.cielotalent.com/"">cielotalent.com</a></strong></p>
</div>",0
"<div>Hi [Name,fallback=],</div>
<div>&nbsp;</div>
<div>I recently came across your profile online, and I was impressed with your background. We are looking for an Area Sales Manager- Dermatology for the Detroit territory.&nbsp;&nbsp;</div>
<div>&nbsp;</div>
<div>You will utilize your expertise to engage with Dermatology customers, partner with multiple stakeholders and work with a wide range of experts.&nbsp; &nbsp;This is an opportunity to work with some of Sanofi's most successful products and offers quite a bit of visibility.&nbsp;</div>
<div>&nbsp;</div>
<div>Let me know if you ahve a few minutes to discuss a bit further over the phone.&nbsp; &nbsp; I look forward to hearing back from you.&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>Kind Regards,</div>
<div>&nbsp;</div>
<div>[signature,fallback=]&nbsp;</div>",0
"<p>Hi Jeff,</p>
<p>I am part of KPMG UK Experienced Hire Recruitment team and am keen to learn if you are open to opportunities .</p>
<p>I am currently recruiting for Audit &ndash; Assistant Manager KPMG. Please let me know if you are happy to discuss this further ?</p>
<p>&nbsp;</p>
<p>AH Krick</p>",0
"<div>Hi [Name,fallback=],</div>
<div>
<p>My name is Alan Schultz with the Sanofi Talent Acquisition Team. <br /><br />I wanted to find out if you are open to networking with me in regards to a Distinguished Toxicology Scientist opportunity we currently have available at our Framingham, MA site.</p>
<p>This position will provide the department of Preclinical Safety a wide range of scientific expertise associated with Toxicology and Safety Pharmacology needs on Discovery and Development Project Teams of the Sanofi Group.</p>
<p>Interested in connecting further or referring a colleague? We would love to set up an initial conversation with you or someone you know, and I&rsquo;ve added a link below to one of our full job descriptions for your review.</p>
<p>https://sanofi.wd3.myworkdayjobs.com/en-US/SanofiCareers/job/Framingham-MA/</p>
<p>Thank you!<br />Alan</p>
</div>",0
"<div>Hi [Name,fallback=],</div>
<div>&nbsp;</div>
<div>Given your expertise, I'm reaching out to you regarding a (Sr.) Account Executive opportunity for Jumio - this role will be remote based to cover Toronoto territory, specifically focused in the Financial Services sector.&nbsp;&nbsp;&nbsp;&nbsp; Expanding the Sales team is critical to the success of Jumio - you will be responsible for hunting opportunities, managing the sales cycles and negotiating successful contracts in order to commence long term partnerships with new clients.</div>
<div>
<p>At Jumio, we solve the largest problem for businesses online: digital identity is meaningless without knowing real-world identity. As the leading Trusted Identity as a Service provider, and Frost &amp; Sullivan&rsquo;s Biometric Company of the Year, we allow hundreds of Enterprises to know and trust their customers.&nbsp; With a global footprint, we&rsquo;re expanding the team to meet strong client demand across a range of industries including Fintech, Financial Services (Banking/Insurance) and Gaming.</p>
<p>To date, Jumio has over 350 global blue-chip clients - serving some of the largest web properties on the planet!</p>
<p>Should you or someone you know be interested in learning more, I would welcome the conversation.</p>
<p>Best,</p>
</div>
<div>[signature,fallback=]&nbsp;</div>",0
"<div>Hi [Name,fallback=],</div>\n<div>&nbsp;</div>\n<div>Given your expertise, I'm reaching out to you regarding an Account Manager / APAC opportunity for Jumio &ndash; to be located in Jumio&rsquo;s Singapore office.&nbsp;&nbsp;&nbsp;&nbsp; You will have the opportunity to work with Jumio&rsquo;s key enterprise accounts to define account strategies and identify opportunities (up-sell and cross-sell) to drive business expansion for APAC.</div>\n<div>\n<p>Jumio is the future for online and mobile ID verification. We are the largest and fastest growing company in the ID verification space and an industry leader in Trusted Identity as a Service. With a global footprint, we&rsquo;re expanding the team to meet strong client demand across a range of industries including Travel, Sharing Economy, Fintech, Gaming, and others.</p>\n<p>To date, Jumio has over 300 global blue-chip clients - serving some of the largest web properties on the planet!</p>\n<p>Jumio was recently featured in Forbes -&nbsp;<a href=""https://www.forbes.com/sites/montymunford/2018/08/24/five-really-interesting-innovations-and-products-in-global-fintech/#11da678738e4"">Five Really Interesting Innovations And Products In Global FinTech</a>. Plus, the company is growing crazy fast as this whole market space is exploding.</p>\n<p>Should you or someone you know be interested in learning more, I would welcome the conversation.</p>\n<p>Best,</p>\n</div>\n<div>&nbsp;</div>\n<div>[signature,fallback=]&nbsp;</div>",0
"<div>Hi [Name,fallback=],</div>
<div>&nbsp;</div>
<div>Happy Monday! I recently came across your profile online, and wanted to reach out regarding a recruitment opportunity here at Cielo. We are looking for a Recruiter to support a client of ours that can act as the face of recruitment day in and day out .&nbsp; Our Recruiter would support higher volume hiring for Driver positions, averaging around 50-60 openings.&nbsp; This position would be remote with the expectation of traveling 1-2 times per month at most (would travel within market of TN, AL, KY and AR).</div>
<div>
<div>
<p>If you are interested in chatting about the position a bit further, I'd like to get some time on the calendar to do so.&nbsp;</p>
<p>P.S. If the timing is not right, I'd be grateful if you could relay this opportunity to your network.&nbsp;</p>
</div>
</div>
<div>Kind Regards,</div>
<div>&nbsp;</div>
<div>[signature,fallback=]&nbsp;</div>",0
"<div>Hi [Name,fallback=],</div>
<div>&nbsp;</div>
<div>I'm reaching out to you regarding Sales Development Representative opportunity for Jumio &ndash; Jumio is in expansive growth mode in EMEA - located in our Shoreditch office!</div>
<div>
<p>Jumio is the future for online and mobile ID verification. We are the largest and fastest growing company in the ID verification space. With a global footprint, we&rsquo;re expanding the team to meet strong client demand across a range of industries including Travel, Sharing Economy, Fintech, Gaming, and others.</p>
<p>To date, Jumio has over 350 global blue-chip clients - serving some of the largest web properties on the planet.</p>
<p>Should you or someone you know be interested in learning more, I would welcome the conversation.</p>
<p>Best,</p>
<p>&nbsp;</p>
</div>
<div>&nbsp;</div>
<div>
<p>Jerica Sanchez Douglas <br />Sr. Global Talent Acquisition Partner<br />Jumio</p>
<p>&nbsp;</p>
&nbsp;</div>",0
